km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
31 000 km,Honda,Honda e,2021,Electric,154 CP,,,Euro 6,Automata,Masina de oras,5,Negru,5,Metalizata,Da,Luxemburg,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpjN3FtY252ZjE5NTMtQVVUT1ZJVFJPIn0.xn77pEfTMAWiox9aJpwODzuBFqTzqGW7Kdgmkg1ctSA/image;s=320x240,26 900,91c9c07f-f4da-4799-b089-c4b437267974
142 123 km,Ford,Fiesta,2019,Diesel,85 CP,1 498 cm3,Fata,Euro 6b,Manuala,Masina de oras,5,Albastru,5,Metalizata,Da,,,Second hand,87 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZlMWY4ejFiOXBvdjMtQVVUT1ZJVFJPIn0.qd9kAku2VQFBR4jLJ4_v1EVJwiggYhMIDr3HrxrQC8Y/image;s=644x461,8 250,e7a7d8e5-2aed-409d-8299-5b75c5f6f9eb
208 532 km,Ford,Mondeo,2012,Diesel,115 CP,1 560 cm3,Fata,Euro 5b,Manuala,Sedan,5,Gri,5,Metalizata,,Belgia,Da,Second hand,109 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF4ejIwOGp5bXB1cC1BVVRPVklUUk8ifQ.0sVGS8wW8MIMTw9xnO-MoB871SnqEXcr9BONktpqxvE/image;s=320x240,5 990,aa8559aa-c285-4903-982c-dd5ae145827f
20 km,Audi,A5,2023,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,Sedan,5,Negru,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImoxeTY2dDRia21jeDEtQVVUT1ZJVFJPIn0.44vjVy74v1fQsVH9BCTouJ0TdIR-M3RF4_lm-XH9GAY/image;s=644x461,56 849,5b6cd3a2-44b7-4156-91bb-6063beef83b0
88 032 km,Kia,Sportage,2019,Diesel,185 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Rosu,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imtid2FrbjRrNjN5Ny1BVVRPVklUUk8ifQ.1L8Db7UZM0ggFPNLGE_R9JqrTuoN5mXbcCMWHWutkvk/image;s=644x461,24 978,9687f250-45d7-4a1e-8efa-0f0a0a79b141
6 000 km,Bentley,Continental,2022,Benzina,550 CP,3 996 cm3,,Euro 6,Automata,Coupe,2,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhxNmx4bzRubTJhbTEtQVVUT1ZJVFJPIn0.6L7qZQTTuNI61PmQroctrjq5wFlONShDkDZKOrgns98/image;s=644x461,235 620,5e67a3b3-5c8e-43de-b09e-8cbfcf28c4cd
39 900 km,Rolls-Royce,Wraith,2019,Benzina,632 CP,6 592 cm3,,Euro 6,Automata,Coupe,2,Bej,,Perlat,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imd2ZWJyOXZyMjAxdDEtQVVUT1ZJVFJPIn0.KoiDaUxOgjTjEAcz7OTFi76ox08sTM0_X4ljFMo7HO8/image;s=644x461,408 333,245b50f3-5dcb-456d-908d-b762f024a6fa
248 597 km,Volkswagen,Crafter,2013,Diesel,109 CP,1 968 cm3,,,Manuala,Compacta,2,Alb,3,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImhuYW11YTM0MG45Zi1BVVRPVklUUk8ifQ.HyaDwWE5dghYURPOyfQ9YD1i8EMW6iYwNC_Vf7blEHo/image;s=320x240,10 900,2761304b-9696-44bf-ac7f-be8feb47e6d2
2 000 km,Porsche,911-TURBO-S,2023,Benzina,650 CP,3 745 cm3,,Euro 6,Automata,Coupe,2,Alte culori,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdqemU0Z3AxaGNhbzEtQVVUT1ZJVFJPIn0.sCmneXFU73w1DZYCQVZzw9NwBKS7kMVrZ7xb7uP1ckk/image;s=644x461,278 419,6749062c-10ad-4c47-9718-5da77252633a
55 720 km,Mercedes-Benz,C,2018,Benzina,390 CP,2 996 cm3,,Euro 6,Automata,Sedan,2,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJweTA1ZXFmOGMzaTEtQVVUT1ZJVFJPIn0.8ClMBcToOvrlz87jno-_x3aEgzmy7M33B1I2VamJqb0/image;s=644x461,48 899,d8479cda-cf01-4beb-9d6c-19d5cd18ef4c
15 km,Toyota,Hilux,2023,Diesel,204 CP,2 755 cm3,,Euro 6,Automata,SUV,4,Gri,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk0anhjMDM1MGdndy1BVVRPVklUUk8ifQ.rcmHV8qC0-z1VPyutZuO4w6qTTXheQMr5H8Ui7r3cns/image;s=644x461,53 709,6b759632-8212-42a9-adf2-40b4057f37b6
66 400 km,BMW,Seria 5,2020,Benzina,252 CP,1 998 cm3,,Euro 6,Automata,Sedan,4,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml6eDBxMWx0Z3pqby1BVVRPVklUUk8ifQ.3_HG57bQxtrQQ32nz4ERWA85_MC4xnQwb7sIcwi85gA/image;s=644x461,45 899,614ae54b-4b73-4830-85b9-2f9047a6186b
13 km,Toyota,RAV4,2022,Hibrid,178 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Argint,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRncWJ5czN1NmhyYy1BVVRPVklUUk8ifQ.6esVmWM70l5EAFv8hpEZwQfVnlGMGvlVlhBQazmctVA/image;s=644x461,47 095,83d92d79-94db-46e4-9bbd-89269a3c49ce
13 654 km,Kia,Sportage,2022,Hibrid,180 CP,1 598 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImYydHkyaW1rbWowMjEtQVVUT1ZJVFJPIn0.cb9eDUTbVU2u64Wsg5afXhSO9Idchfx4P3XOg-0Qvtk/image;s=644x461,44 478,9e599fe3-f0bf-49f4-9305-7fdaa16e29f6
17 150 km,BMW,Seria 5,2021,Diesel,340 CP,2 993 cm3,,Euro 6,Automata,Sedan,4,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InluYmY0NWFvb2pmdy1BVVRPVklUUk8ifQ.xp-yTnq6N1uDF6ZRxnrYqq0AdDULaAq-jk6shx_HBRg/image;s=644x461,68 137,57fc3873-d9ee-450d-a1c7-54a6415557bc
12 km,Toyota,RAV4,2022,Hibrid,178 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InhvZ2JmMXYwMnIwby1BVVRPVklUUk8ifQ.31pmHdV9ewRsYfjD-bBy1zSr8XeXrsVrBBanGQ9_V9Q/image;s=644x461,46 800,f584ae68-7e7f-4abe-add5-f0af4af853d6
155 000 km,Mercedes-Benz,V,2017,Diesel,190 CP,2 143 cm3,,Euro 6,Automata,Monovolum,4,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAydW9zZXl6cjBzYTEtQVVUT1ZJVFJPIn0._jkRkLa2nxoh5ixfhUQXH4nKK93qZOewxSlAKOGja_M/image;s=644x461,47 899,5257ae98-66c5-4de9-aca0-bafc6c306295
80 km,Mercedes-Benz,G,2022,Benzina,585 CP,3 982 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InkyZm51aTAwM2YzYTEtQVVUT1ZJVFJPIn0.CRLgA_-JAHcvIoliPJ94tO3zf8FYLeaWfJcOU7auabI/image;s=644x461,237 881,d53905ac-2667-490b-bdab-abff57a74097
47 300 km,Land Rover,Range Rover Evoque,2020,Diesel,180 CP,1 999 cm3,,Euro 6,Automata,SUV,5,Galben/Auriu,,Metalizata,,,,Second hand,150 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh1eWI4anM2ODB3djMtQVVUT1ZJVFJPIn0.7c12ofOJ2HMsCwZm_raPmCIsOD_xM4Fq8S16e_ieEmk/image;s=644x461,47 928,27d31655-2749-48f1-9f2d-6df620d3d08e
11 813 km,BMW,Seria 5,2021,Diesel,190 CP,1 995 cm3,,Euro 6,Automata,Sedan,4,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFpb2EwNWg1M3Flcy1BVVRPVklUUk8ifQ.g6XS4IQZ7TqNw8hZMtAx91I8PJlBT7gUIJx843nz6Dg/image;s=644x461,53 822,344488ac-df32-4cc5-b58c-05fd198884ac
3 000 km,Porsche,Cayenne,2022,Hibrid,680 CP,3 996 cm3,,Euro 6,Automata,SUV,5,Bej,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJkMmNqMmU4anl4NDItQVVUT1ZJVFJPIn0.VRVjQvNO6UCGCNZWlH5WKeHFk3xrpZVHuwguhrkMI4k/image;s=644x461,224 799,3ede4ff9-3a44-480d-bf12-d1bcecc88345
9 900 km,Bentley,Bentayga,2022,Benzina,550 CP,3 996 cm3,,Euro 6,Automata,SUV,5,Alte culori,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjI0MDZtMjJnbXVveC1BVVRPVklUUk8ifQ.QLodt1CQuKsH7Dv3K0PLQfyAAemeEkcksVzS8oP8mmw/image;s=644x461,328 900,fc681949-6d31-4a96-b12b-8ad192c4050d
7 400 km,BMW,Seria 5,2021,Diesel,340 CP,2 993 cm3,,Euro 6,Automata,Sedan,4,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjlrMXdjcXQyb2VnMjItQVVUT1ZJVFJPIn0.WSuNKxFMu0oJj8TqNRy2nr4ZFyAiCLWcsAcszNWhKHA/image;s=644x461,70 599,8d464962-9ca4-4e46-991b-bb6bd61b7b65
41 970 km,Volvo,XC 60,2020,Diesel,197 CP,1 969 cm3,,Euro 6,Automata,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMzeHJycXQ4OWVhcjEtQVVUT1ZJVFJPIn0.L_xrtK4JiQ9B51sJSoN72aYfOoUb45cRMtMjjjGMSPI/image;s=644x461,43 144,f1b6da2f-c382-4090-aab9-64ea00f775b9
38 950 km,BMW,Seria 5,2018,Benzina,184 CP,1 998 cm3,,Euro 6,Automata,Sedan,4,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh6ZGR6YWc0dHVqbDItQVVUT1ZJVFJPIn0.MJHyDoTKjSteRsPyofaT2gA05i0rBijc5kIcTJ8qBiY/image;s=644x461,29 500,e5021e91-69f8-446e-bc69-fac0322961e4
11 500 km,Porsche,Macan,2022,Benzina,440 CP,2 894 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im4yYmFqYmlicjM2My1BVVRPVklUUk8ifQ.RFZXDJp_IW5rJlOpGkTD0ZPD23WadL13iDy_oAdVsPg/image;s=644x461,101 899,6280f780-5453-42c8-b27e-384e51c00887
43 918 km,Mercedes-Benz,GLC Coupe,2020,Diesel,194 CP,1 950 cm3,,Euro 6,Automata,SUV,5,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE1Y3Eyb2Fpa2o0bzItQVVUT1ZJVFJPIn0.SY8Psig--mdc5WyQsWo3rGgAHgUcOAiiNjNlpk4hfUE/image;s=644x461,60 500,62e64dbe-1d68-40d0-bb58-86ad2f49e0f6
10 km,Toyota,RAV4,2023,Hibrid,178 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtuNzB1bGp5bXplMjEtQVVUT1ZJVFJPIn0.dONkv8JhSuxC_6-4CvDzjYrEM1IkGuRT5k_kCROzE2w/image;s=644x461,49 989,746e5cb5-99ed-4a62-85b1-e41c1edd47c9
99 555 km,Volkswagen,Golf,2018,Diesel,115 CP,1 598 cm3,Fata,Euro 6,Manuala,Combi,5,Alb,5,,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjB2ZjZua3U0OWV5ZS1BVVRPVklUUk8ifQ.yFExP0O4HrYO_JQerPe7kJHJX6ul7ZaOxhNKS6fmu1I/image;s=644x461,13 999,a8f88cbd-8925-4ad8-9188-89bb617ca64f
66 400 km,Nissan,Qashqai,2017,Diesel,130 CP,1 598 cm3,4x4 (manual),Euro 6,Manuala,SUV,5,Maro,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Img2NHhybWx1YmMzdS1BVVRPVklUUk8ifQ.AYfQlF9bzC6DKZCSHAqNXsoq2qqp1wt8um5poSMWFrI/image;s=644x461,19 399,ddfc96c3-6859-45b6-84dd-c7897de2fd5e
27 480 km,Audi,Q5,2021,Diesel,204 CP,1 968 cm3,,Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjIwdzJwMGtpZGE5ZTEtQVVUT1ZJVFJPIn0.jnlxwjr15hoplDXwRIUCtPfcRwnNqE-bPic8sAaJtzw/image;s=644x461,58 699,0d99439d-71bb-4b68-8f77-6301de54e415
220 km,Ford,Ranger,2022,Diesel,170 CP,1 996 cm3,,Euro 6,Automata,SUV,4,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1mcGN3OTlzZXBrczItQVVUT1ZJVFJPIn0.h8VBGn_36jm3cgs1vI5NDn-4q8ZfyCHo5iiYrhM-Jqk/image;s=644x461,40 700,668ca810-7e7d-4bb7-ace8-b4cccc960e5e
57 700 km,Peugeot,3008,2019,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,5,Negru,5,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhycHQ2djBya3FyZDItQVVUT1ZJVFJPIn0.uLNwWzU9n22WP4afJl0nfc6HfJIing0zAxmC0yhtNPs/image;s=644x461,24 399,0c510482-327e-4c1d-a753-637e3fab189e
20 360 km,Mercedes-Benz,E,2021,Hibrid,194 CP,1 950 cm3,,Euro 6,Automata,Sedan,4,Argint,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFqY25xNm40ZnhzcTEtQVVUT1ZJVFJPIn0.SNnm7f9gZPBhCffatQa3Io9TRjRMUR3gYDV40nn9dfI/image;s=644x461,58 900,0e7c5b28-50ea-4ad7-939e-159aa420bcd2
10 km,Toyota,RAV4,2023,Hibrid,178 CP,2 487 cm3,,Euro 6,Automata,SUV,5,Alb,,Perlat,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk2b2pvcHo2MDQycDEtQVVUT1ZJVFJPIn0.ownHm9-c_69JIaMhYy4bT2ThRTO2_kjQ0gIUIiuH5mI/image;s=644x461,50 498,ddacf909-41fe-47e1-a7ad-ef0c3e4e4c0f
195 000 km,Skoda,Superb,2017,Diesel,190 CP,1 968 cm3,Fata,Euro 6,Manuala,Sedan,5,Alb,5,Metalizata,Da,Germania,,Second hand,106 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndkbnVoanRqeTh6cC1BVVRPVklUUk8ifQ.j8L5krvn9saABku0Siqfgp6CIgjoQ5aEqHg5lWug1lA/image;s=320x240,16 890,ac3f589e-6a6b-4587-aa2d-874c6fe6b711
146 500 km,Skoda,Kodiaq,2017,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alte culori,5,Metalizata,,Germania,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InR0cTVncHVuOGtjdjItQVVUT1ZJVFJPIn0.I8OKDVTd60CdY32m_ojR3b1MwI3_6OeERjHYmLUtERM/image;s=320x240,23 800,c5d54478-0540-4907-a4f1-aba22a7f9479
52 000 km,Hyundai,IONIQ,2020,Hibrid,105 CP,1 580 cm3,Fata,Euro 6c,Automata,Sedan,5,Alb,5,Metalizata,,Romania,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZwMjhiaWd3aGIxOTEtQVVUT1ZJVFJPIn0.uL_tj8VuFhS9dGrV6ISdJv3SNsIedg7Lbe7SVPpYqEE/image;s=320x240,19 000,9fb5e100-eb52-4f1f-890a-bd7cb7962480
165 439 km,Mini,Cooper,2015,Diesel,170 CP,1 995 cm3,Fata,Euro 6b,Manuala,Compacta,3,Gri,4,Metalizata,,Germania,,Second hand,109 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRhcHZ1cWxzdmVqbS1BVVRPVklUUk8ifQ.z9aqwxec2b2_ISlPUnGzddFmp-ONJQQNulpRr_UN3ow/image;s=320x240,10 990,2cf4323e-9f28-4c53-972d-eca91026f121
92 700 km,Ford,Focus,2016,Diesel,120 CP,1 499 cm3,Fata,Euro 6,Manuala,Combi,5,Negru,5,Metalizata,Da,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRkZnVhZjl4M3RueDEtQVVUT1ZJVFJPIn0.gaMDwiVlH6LSm7alwkH2xLtB8JvHg8yKYCoVQsMAMb0/image;s=320x240,9 100,6d26f547-0774-4a0e-bf7d-470125b414f5
118 000 km,Seat,Leon,2007,Benzina,85 CP,1 390 cm3,Fata,Euro 4,Manuala,Masina de oras,5,Argint,5,Metalizata,,Austria,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im52bDZqdTV4cjhpZjEtQVVUT1ZJVFJPIn0.CbPTmvKvCF_7wP465LH-oFGHc4Pem40dTysuqUu0XEg/image;s=644x461,4 800,0c5fb16e-580c-4d12-984a-e5120a2e6d82
94 800 km,Nissan,X-Trail,2020,Benzina,163 CP,1 618 cm3,Fata,Euro 6,Automata,SUV,5,Gri,5,Metalizata,,,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjQ2ODUybW5wcmxiMDEtQVVUT1ZJVFJPIn0.zICqB4ulE6oanXKGfz23r3H2Y7IWPP_TuKkoDtVuil8/image;s=320x240,23 850,5287182f-0687-4921-b7e5-be28138c7075
53 600 km,Nissan,Qashqai,2015,Benzina,115 CP,1 197 cm3,4x4 (manual),,Manuala,SUV,5,Albastru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImZvYndnaXA5c3E4cDEtQVVUT1ZJVFJPIn0.3YMJ_gWLFnQ2Q0Q6Dfp3RErh1aJI26sJTAzfazHTcvo/image;s=644x461,12 990,7ae0dccc-6096-4854-9130-6fc0701979f1
240 000 km,BMW,X5,2008,Diesel,285 CP,2 993 cm3,4x4 (automat),Euro 4,Automata,SUV,5,Albastru,5,Metalizata,,Romania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZwa3Z6aDVsdWpvYzMtQVVUT1ZJVFJPIn0.b4v3ZQelAk3wvLfuFl7igJI8TKQaGOlXtTQwO6gkBZU/image;s=644x461,12 900,d6b54b76-028a-4b73-a11c-5abeae2ef776
216 000 km,BMW,X3,2012,Diesel,184 CP,1 995 cm3,4x4 (manual),Euro 5,Automata,SUV,5,Negru,5,Metalizata,,Olanda,Da,Second hand,147 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ4dGF3a3NicmQ2MDEtQVVUT1ZJVFJPIn0.9KiWaC4B9X4fh2ycpnHBoyk0M9jmaFOxhdH8FKpYVMQ/image;s=644x461,14 489,bd38224c-ff35-4bd2-b520-ba42349baef9
172 200 km,Hyundai,Santa Fe,2014,Diesel,197 CP,2 199 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,7,Metalizata,,,,Second hand,178 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjU1b3RrOXM1Mmo0cjItQVVUT1ZJVFJPIn0.tVbw4YHXRt6rVe7RDJUQl-8eXiIp3RdYBn6tU4TWx5E/image;s=320x240,15 700,c27be4a2-fe20-4568-902f-e0a9ea50ac69
1 500 km,Mercedes-Benz,G,2023,Diesel,330 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Argint,5,Metalizata,Da,Romania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNoeDVzZjE3cmpjZjEtQVVUT1ZJVFJPIn0.cV2yzg-L-vcyXLkuptuHpptY9vTolg3n9bLDsDiB7hI/image;s=320x240,158 865,abd3c646-3780-423f-a95c-d336439ccf9d
193 000 km,Audi,A5,2017,Diesel,245 CP,2 967 cm3,,,Automata,Coupe,5,Negru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1sejJkcnhmZHpjYzItQVVUT1ZJVFJPIn0.CFowvpJks4aNEyUFVlzIUj9CoZxWRQdIhmRznP02GMM/image;s=320x240,21 300,793c0933-6a6c-4487-9033-554d3990f233
78 324 km,Toyota,C-HR,2019,Hibrid,98 CP,1 798 cm3,Fata,Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Romania,Da,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVxMWdxaGpoODNlZDEtQVVUT1ZJVFJPIn0.VmOrOX6d6bGt6wN1I9_KhLRu2ZUyZlz_zfDNfaH4P5E/image;s=320x240,19 350,cfaa363e-3534-4738-83ed-24e5621696e7
124 500 km,Mercedes-Benz,S,2018,Diesel,286 CP,2 925 cm3,4x4 (automat),Euro 6,Automata,Sedan,4,Gri,,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBvdnBkdGJ6N2NtcjEtQVVUT1ZJVFJPIn0.L8Hk-OQRVWEvJKyYunlcJB6oBCIs2d-Hg_JB-2wROR8/image;s=644x461,44 970,d548fd70-8f1c-49fa-9dc9-3e4d6df4ec4c
172 800 km,Volkswagen,Touareg,2020,Diesel,231 CP,2 967 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,,,Da,Second hand,125 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImIxZmxtemo5eG05MzItQVVUT1ZJVFJPIn0.egfd9_w-ySN6zCnoF4U2kpg2HkpaVa2biSi5ATrnxw8/image;s=320x240,46 800,b083af00-f5ca-4e57-a30d-36cf7ec09957
177 600 km,BMW,X4,2015,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF5cmxpaDJjbmRnMDMtQVVUT1ZJVFJPIn0.03FoWZkHiU0z6eMUIEh3uqXqbVt901FmRIufv3DUlGs/image;s=644x461,22 950,4c664bca-42ef-49d2-ab6c-64a0cfcac184
198 600 km,BMW,Seria 5,2015,Benzina,245 CP,1 997 cm3,,Euro 6,Automata,Sedan,4,Gri,,Metalizata,,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im12NDBvYWw4OWZ4ei1BVVRPVklUUk8ifQ._kMKNtHCt-14KSb9OMxCYkEPN8Ry3AbcXWBQ3v20bb0/image;s=644x461,16 390,6800bdfb-cbbd-45ca-96fa-e0b0be7df30b
171 000 km,Seat,Leon,2011,Benzina,105 CP,1 197 cm3,Fata,Euro 5,Manuala,Masina de oras,5,Alb,5,Metalizata,,Austria,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inc0ejhuZHFna3YyYzEtQVVUT1ZJVFJPIn0.RXmOBr4nPMLFITIqOgdaH6PiYZaYNsIgYdSpbOhvyCk/image;s=644x461,5 800,e8a7fba2-70d3-423e-9d66-0b33f156a81e
195 900 km,Fiat,Qubo,2012,Benzina,77 CP,1 368 cm3,Fata,Euro 5,Manuala,Monovolum,5,Gri,5,Metalizata,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InF2NWV0djZybGJjajItQVVUT1ZJVFJPIn0.KOSHPZzCe9QgO3ZncJ8_n1NFbVOVbnHbHfoPtVQRtAo/image;s=644x461,5 150,6d70d0d6-b8a0-4bdb-a88e-fc38764a5d10
235 690 km,Volvo,XC 90,2016,Diesel,225 CP,1 969 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,7,Metalizata,,Belgia,Da,Second hand,152 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Indrdng2NmZqeGFvZDItQVVUT1ZJVFJPIn0.BzB2I429noydkCAI7ErCkQYunWDwuEGQpkiltCGgj4g/image;s=644x461,28 500,37526a13-4441-4977-be94-95df1eccdde7
181 133 km,BMW,Seria 1,2020,Benzina,140 CP,1 499 cm3,Fata,Euro 6,Automata,Compacta,5,Negru,5,Metalizata,,Belgia,,Second hand,113 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjljaHMxcXNkcG9hNDItQVVUT1ZJVFJPIn0.xV8UG6zAmTg-UOakT2VRegSesambRKzn7qhGWP6asas/image;s=644x461,18 499,841d96d0-4b05-4555-adbc-cf216b5ca560
59 817 km,Mini,Cooper,2021,Benzina,136 CP,1 499 cm3,Fata,Euro 6,Automata,Masina de oras,2,Gri,4,Metalizata,Da,Austria,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRncmIxMmw4bzRpMTEtQVVUT1ZJVFJPIn0.9Z_1I7I10OldbOW8FcB7dyBDR4lXfxNu_WaKdJd75bQ/image;s=644x461,24 978,84288ed3-2ed1-4718-b626-2376e1536aef
168 842 km,BMW,X3,2018,Benzina,184 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ0Y2Q0M29kNDluazMtQVVUT1ZJVFJPIn0.vMC15pGeGA9LBhgkpO2zJuEtfjtsV9_9XUX8TVR6-wI/image;s=644x461,32 118,a09b8723-5391-4252-9cda-3901e6e4c917
115 102 km,Audi,A6,2019,Benzina,340 CP,2 995 cm3,4x4 (manual),Euro 6,Automata,Sedan,4,Negru,5,Perlat,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNhdzVhaWFjMHp3ZTMtQVVUT1ZJVFJPIn0.ysKlQRA-p0q0FzaY30CCRGPxYzVV6gYTMmR3kGm8cKI/image;s=320x240,39 900,4cfa89f6-7c0f-430c-ac3c-9e59d7c83f3d
